time,T_gasIn.T,T_gasOut.T,T_waterOut.T,T_waterIn.T,T_gasIn.inlet.m_flow,T_waterIn.inlet.m_flow
221,321.66,319.467,305.84,295.307,0.606862,0.083115
225,321.666,319.472,305.842,295.307,0.606862,0.083115
225,321.666,319.472,305.842,295.307,0.606862,0.083115
226,321.667,319.473,305.843,295.307,0.606862,0.083115
226,321.667,319.473,305.843,295.307,0.606862,0.083115
230,321.672,319.477,305.845,295.307,0.606862,0.083115
230,321.672,319.477,305.845,295.307,0.606862,0.083115
231,321.673,319.479,305.846,295.307,0.606862,0.083115
231,321.673,319.479,305.846,295.307,0.606862,0.083115
235,321.679,319.483,305.848,295.307,0.606862,0.083115
235,321.679,319.483,305.848,295.307,0.606862,0.083115
236,321.68,319.484,305.849,295.307,0.606862,0.083115
236,321.68,319.484,305.849,295.307,0.606862,0.083115
240,321.685,319.489,305.851,295.307,0.606862,0.083115
240,321.685,319.489,305.851,295.307,0.606862,0.083115
241,321.687,319.49,305.852,295.307,0.606862,0.083115
241,321.687,319.49,305.852,295.307,0.606862,0.083115
245,321.692,319.495,305.854,295.307,0.606862,0.083115
245,321.692,319.495,305.854,295.307,0.606862,0.083115
246,321.693,319.496,305.855,295.307,0.606862,0.083115
246,321.693,319.496,305.855,295.307,0.606862,0.083115
250,321.698,319.501,305.857,295.307,0.606862,0.083115
250,321.698,319.501,305.857,295.307,0.606862,0.083115
251,321.7,319.502,305.857,295.307,0.606862,0.083115
251,321.7,319.502,305.857,295.307,0.606862,0.083115
255,321.705,319.507,305.86,295.307,0.606862,0.083115
255,321.705,319.507,305.86,295.307,0.606862,0.083115
256,321.706,319.508,305.86,295.307,0.606862,0.083115
256,321.706,319.508,305.86,295.307,0.606862,0.083115
260,321.711,319.513,305.863,295.307,0.606862,0.083115
260,321.711,319.513,305.863,295.307,0.606862,0.083115
261,321.713,319.514,305.863,295.307,0.606862,0.083115
261,321.713,319.514,305.863,295.307,0.606862,0.083115
265,321.718,319.518,305.865,295.307,0.606862,0.083115
265,321.718,319.518,305.865,295.307,0.606862,0.083115
266,321.719,319.52,305.866,295.307,0.606862,0.083115
266,321.719,319.52,305.866,295.307,0.606862,0.083115
270,321.725,319.524,305.868,295.307,0.606862,0.083115
270,321.725,319.524,305.868,295.307,0.606862,0.083115
271,321.726,319.526,305.869,295.307,0.606862,0.083115
271,321.726,319.526,305.869,295.307,0.606862,0.083115
275,321.731,319.53,305.871,295.307,0.606862,0.083115
275,321.731,319.53,305.871,295.307,0.606862,0.083115
276,321.732,319.531,305.872,295.307,0.606862,0.083115
276,321.732,319.531,305.872,295.307,0.606862,0.083115
280,321.738,319.536,305.874,295.307,0.606862,0.083115
280,321.738,319.536,305.874,295.307,0.606862,0.083115
281,321.739,319.537,305.875,295.307,0.606862,0.083115
281,321.739,319.537,305.875,295.307,0.606862,0.083115
285,321.744,319.542,305.877,295.307,0.606862,0.083115
285,321.744,319.542,305.877,295.307,0.606862,0.083115
286,321.746,319.543,305.878,295.307,0.606862,0.083115
286,321.746,319.543,305.878,295.307,0.606862,0.083115
290,321.751,319.548,305.88,295.307,0.606862,0.083115
290,321.751,319.548,305.88,295.307,0.606862,0.083115
291,321.752,319.549,305.88,295.307,0.606862,0.083115
291,321.752,319.549,305.88,295.307,0.606862,0.083115
295,321.757,319.554,305.883,295.307,0.606862,0.083115
295,321.757,319.554,305.883,295.307,0.606862,0.083115
296,321.759,319.555,305.883,295.307,0.606862,0.083115
296,321.759,319.555,305.883,295.307,0.606862,0.083115
300,321.764,319.56,305.886,295.307,0.606862,0.083115
300,321.764,319.56,305.886,295.307,0.606862,0.083115
301,321.765,319.561,305.886,295.307,0.606862,0.083115
301,321.765,319.561,305.886,295.307,0.606862,0.083115
305,321.77,319.565,305.889,295.307,0.606862,0.083115
305,321.77,319.565,305.889,295.307,0.606862,0.083115
306,321.772,319.567,305.889,295.307,0.606862,0.083115
306,321.772,319.567,305.889,295.307,0.606862,0.083115
310,321.777,319.571,305.891,295.307,0.606862,0.083115
310,321.777,319.571,305.891,295.307,0.606862,0.083115
311,321.778,319.573,305.892,295.307,0.606862,0.083115
311,321.778,319.573,305.892,295.307,0.606862,0.083115
315,321.784,319.577,305.894,295.307,0.606862,0.083115
315,321.784,319.577,305.894,295.307,0.606862,0.083115
316,321.785,319.578,305.895,295.307,0.606862,0.083115
316,321.785,319.578,305.895,295.307,0.606862,0.083115
320,321.79,319.583,305.897,295.307,0.606862,0.083115
320,321.79,319.583,305.897,295.307,0.606862,0.083115
321,321.791,319.584,305.898,295.307,0.606862,0.083115
321,321.791,319.584,305.898,295.307,0.606862,0.083115
325,321.797,319.589,305.9,295.307,0.606862,0.083115
325,321.797,319.589,305.9,295.307,0.606862,0.083115
326,321.798,319.59,305.901,295.307,0.606862,0.083115
326,321.798,319.59,305.901,295.307,0.606862,0.083115
330,321.803,319.595,305.903,295.307,0.606862,0.083115
330,321.803,319.595,305.903,295.307,0.606862,0.083115
331,321.805,319.596,305.903,295.307,0.606862,0.083115
331,321.805,319.596,305.903,295.307,0.606862,0.083115
335,321.81,319.601,305.906,295.307,0.606862,0.083115
335,321.81,319.601,305.906,295.307,0.606862,0.083115
336,321.811,319.602,305.906,295.307,0.606862,0.083115
336,321.811,319.602,305.906,295.307,0.606862,0.083115
340,321.816,319.607,305.909,295.307,0.606862,0.083115
340,321.816,319.607,305.909,295.307,0.606862,0.083115
341,321.818,319.608,305.909,295.307,0.606862,0.083115
341,321.818,319.608,305.909,295.307,0.606862,0.083115
345,321.823,319.612,305.912,295.307,0.606862,0.083115
345,321.823,319.612,305.912,295.307,0.606862,0.083115
346,321.824,319.614,305.912,295.307,0.606862,0.083115
346,321.824,319.614,305.912,295.307,0.606862,0.083115
350,321.829,319.618,305.914,295.307,0.606862,0.083115
350,321.829,319.618,305.914,295.307,0.606862,0.083115
351,321.831,319.619,305.915,295.307,0.606862,0.083115
351,321.831,319.619,305.915,295.307,0.606862,0.083115
355,321.836,319.624,305.917,295.307,0.606862,0.083115
355,321.836,319.624,305.917,295.307,0.606862,0.083115
356,321.837,319.625,305.918,295.307,0.606862,0.083115
356,321.837,319.625,305.918,295.307,0.606862,0.083115
360,321.843,319.63,305.92,295.307,0.606862,0.083115
360,321.843,319.63,305.92,295.307,0.606862,0.083115
361,321.844,319.631,305.921,295.307,0.606862,0.083115
361,321.844,319.631,305.921,295.307,0.606862,0.083115
365,321.849,319.636,305.923,295.307,0.606862,0.083115
365,321.849,319.636,305.923,295.307,0.606862,0.083115
366,321.85,319.637,305.924,295.307,0.606862,0.083115
366,321.85,319.637,305.924,295.307,0.606862,0.083115
370,321.856,319.642,305.926,295.307,0.606862,0.083115
370,321.856,319.642,305.926,295.307,0.606862,0.083115
371,321.857,319.643,305.926,295.307,0.606862,0.083115
371,321.857,319.643,305.926,295.307,0.606862,0.083115
375,321.862,319.648,305.929,295.307,0.606862,0.083115
375,321.862,319.648,305.929,295.307,0.606862,0.083115
376,321.864,319.649,305.929,295.307,0.606862,0.083115
376,321.864,319.649,305.929,295.307,0.606862,0.083115
380,321.869,319.654,305.932,295.307,0.606862,0.083115
380,321.869,319.654,305.932,295.307,0.606862,0.083115
381,321.87,319.655,305.932,295.307,0.606862,0.083115
381,321.87,319.655,305.932,295.307,0.606862,0.083115
385,321.875,319.659,305.935,295.307,0.606862,0.083115
385,321.875,319.659,305.935,295.307,0.606862,0.083115
386,321.877,319.661,305.935,295.307,0.606862,0.083115
386,321.877,319.661,305.935,295.307,0.606862,0.083115
390,321.882,319.665,305.937,295.307,0.606862,0.083115
390,321.882,319.665,305.937,295.307,0.606862,0.083115
391,321.883,319.666,305.938,295.307,0.606862,0.083115
391,321.883,319.666,305.938,295.307,0.606862,0.083115
395,321.888,319.671,305.94,295.307,0.606862,0.083115
395,321.888,319.671,305.94,295.307,0.606862,0.083115
396,321.89,319.672,305.941,295.307,0.606862,0.083115
396,321.89,319.672,305.941,295.307,0.606862,0.083115
400,321.895,319.677,305.943,295.307,0.606862,0.083115
400,321.895,319.677,305.943,295.307,0.606862,0.083115
401,321.896,319.678,305.944,295.307,0.606862,0.083115
401,321.896,319.678,305.944,295.307,0.606862,0.083115
405,321.902,319.683,305.946,295.307,0.606862,0.083115
405,321.902,319.683,305.946,295.307,0.606862,0.083115
406,321.903,319.684,305.947,295.307,0.606862,0.083115
406,321.903,319.684,305.947,295.307,0.606862,0.083115
410,321.908,319.689,305.949,295.307,0.606862,0.083115
410,321.908,319.689,305.949,295.307,0.606862,0.083115
411,321.909,319.69,305.95,295.307,0.606862,0.083115
411,321.909,319.69,305.95,295.307,0.606862,0.083115
415,321.915,319.695,305.952,295.307,0.606862,0.083115
415,321.915,319.695,305.952,295.307,0.606862,0.083115
416,321.916,319.696,305.952,295.307,0.606862,0.083115
416,321.916,319.696,305.952,295.307,0.606862,0.083115
420,321.921,319.7,305.955,295.307,0.606862,0.083115
420,321.921,319.7,305.955,295.307,0.606862,0.083115
421,321.923,319.702,305.955,295.307,0.606862,0.083115
421,321.923,319.702,305.955,295.307,0.606862,0.083115
425,321.928,319.706,305.958,295.307,0.606862,0.083115
425,321.928,319.706,305.958,295.307,0.606862,0.083115
426,321.929,319.708,305.958,295.307,0.606862,0.083115
426,321.929,319.708,305.958,295.307,0.606862,0.083115
430,321.934,319.712,305.96,295.307,0.606862,0.083115
430,321.934,319.712,305.96,295.307,0.606862,0.083115
431,321.936,319.713,305.961,295.307,0.606862,0.083115
431,321.936,319.713,305.961,295.307,0.606862,0.083115
435,321.941,319.718,305.963,295.307,0.606862,0.083115
435,321.941,319.718,305.963,295.307,0.606862,0.083115
436,321.942,319.719,305.964,295.307,0.606862,0.083115
436,321.942,319.719,305.964,295.307,0.606862,0.083115
440,321.947,319.724,305.966,295.307,0.606862,0.083115
440,321.947,319.724,305.966,295.307,0.606862,0.083115
441,321.949,319.725,305.967,295.307,0.606862,0.083115
441,321.949,319.725,305.967,295.307,0.606862,0.083115
445,321.954,319.73,305.969,295.307,0.606862,0.083115
445,321.954,319.73,305.969,295.307,0.606862,0.083115
446,321.955,319.731,305.97,295.307,0.606862,0.083115
446,321.955,319.731,305.97,295.307,0.606862,0.083115
450,321.961,319.736,305.972,295.307,0.606862,0.083115
450,321.961,319.736,305.972,295.307,0.606862,0.083115
451,321.962,319.737,305.973,295.307,0.606862,0.083115
451,321.962,319.737,305.973,295.307,0.606862,0.083115
455,321.967,319.742,305.975,295.307,0.606862,0.083115
455,321.967,319.742,305.975,295.307,0.606862,0.083115
456,321.968,319.743,305.975,295.307,0.606862,0.083115
456,321.968,319.743,305.975,295.307,0.606862,0.083115
