time_mock,HotOil_Evap_in_T,HotOil_Mdot
122.2,48.3808,0.606862
123,48.3818,0.606862
123,48.3818,0.606862
123.2,48.3821,0.606862
123.2,48.3821,0.606862
124,48.3832,0.606862
124,48.3832,0.606862
124.2,48.3834,0.606862
124.2,48.3834,0.606862
125,48.3845,0.606862
125,48.3845,0.606862
125.2,48.3847,0.606862
125.2,48.3847,0.606862
126,48.3858,0.606862
126,48.3858,0.606862
126.2,48.386,0.606862
126.2,48.386,0.606862
127,48.3871,0.606862
127,48.3871,0.606862
127.2,48.3873,0.606862
127.2,48.3873,0.606862
128,48.3884,0.606862
128,48.3884,0.606862
128.2,48.3887,0.606862
128.2,48.3887,0.606862
129,48.3897,0.606862
129,48.3897,0.606862
129.2,48.39,0.606862
129.2,48.39,0.606862
130,48.391,0.606862
130,48.391,0.606862
130.2,48.3913,0.606862
130.2,48.3913,0.606862
131,48.3923,0.606862
131,48.3923,0.606862
131.2,48.3926,0.606862
131.2,48.3926,0.606862
132,48.3936,0.606862
132,48.3936,0.606862
132.2,48.3939,0.606862
132.2,48.3939,0.606862
133,48.395,0.606862
133,48.395,0.606862
133.2,48.3952,0.606862
133.2,48.3952,0.606862
134,48.3963,0.606862
134,48.3963,0.606862
134.2,48.3965,0.606862
134.2,48.3965,0.606862
135,48.3976,0.606862
135,48.3976,0.606862
135.2,48.3978,0.606862
135.2,48.3978,0.606862
136,48.3989,0.606862
136,48.3989,0.606862
136.2,48.3991,0.606862
136.2,48.3991,0.606862
137,48.4002,0.606862
137,48.4002,0.606862
137.2,48.4005,0.606862
137.2,48.4005,0.606862
138,48.4015,0.606862
138,48.4015,0.606862
138.2,48.4018,0.606862
138.2,48.4018,0.606862
139,48.4028,0.606862
139,48.4028,0.606862
139.2,48.4031,0.606862
139.2,48.4031,0.606862
140,48.4041,0.606862
140,48.4041,0.606862
140.2,48.4044,0.606862
140.2,48.4044,0.606862
141,48.4054,0.606862
141,48.4054,0.606862
141.2,48.4057,0.606862
141.2,48.4057,0.606862
142,48.4068,0.606862
142,48.4068,0.606862
142.2,48.407,0.606862
142.2,48.407,0.606862
143,48.4081,0.606862
143,48.4081,0.606862
143.2,48.4083,0.606862
143.2,48.4083,0.606862
144,48.4094,0.606862
144,48.4094,0.606862
144.2,48.4096,0.606862
144.2,48.4096,0.606862
145,48.4107,0.606862
145,48.4107,0.606862
145.2,48.4109,0.606862
145.2,48.4109,0.606862
146,48.412,0.606862
146,48.412,0.606862
146.2,48.4123,0.606862
146.2,48.4123,0.606862
147,48.4133,0.606862
147,48.4133,0.606862
147.2,48.4136,0.606862
147.2,48.4136,0.606862
148,48.4146,0.606862
148,48.4146,0.606862
148.2,48.4149,0.606862
148.2,48.4149,0.606862
149,48.4159,0.606862
149,48.4159,0.606862
149.2,48.4162,0.606862
149.2,48.4162,0.606862
150,48.4172,0.606862
150,48.4172,0.606862
150.2,48.4175,0.606862
150.2,48.4175,0.606862
151,48.4186,0.606862
151,48.4186,0.606862
151.2,48.4188,0.606862
151.2,48.4188,0.606862
152,48.4199,0.606862
152,48.4199,0.606862
152.2,48.4201,0.606862
152.2,48.4201,0.606862
153,48.4212,0.606862
153,48.4212,0.606862
153.2,48.4214,0.606862
153.2,48.4214,0.606862
154,48.4225,0.606862
154,48.4225,0.606862
154.2,48.4227,0.606862
154.2,48.4227,0.606862
155,48.4238,0.606862
155,48.4238,0.606862
155.2,48.4241,0.606862
155.2,48.4241,0.606862
156,48.4251,0.606862
156,48.4251,0.606862
156.2,48.4254,0.606862
156.2,48.4254,0.606862
157,48.4264,0.606862
157,48.4264,0.606862
157.2,48.4267,0.606862
157.2,48.4267,0.606862
158,48.4277,0.606862
158,48.4277,0.606862
158.2,48.428,0.606862
158.2,48.428,0.606862
159,48.429,0.606862
159,48.429,0.606862
159.2,48.4293,0.606862
159.2,48.4293,0.606862
160,48.4304,0.606862
160,48.4304,0.606862
160.2,48.4306,0.606862
160.2,48.4306,0.606862
161,48.4317,0.606862
161,48.4317,0.606862
161.2,48.4319,0.606862
161.2,48.4319,0.606862
162,48.433,0.606862
162,48.433,0.606862
162.2,48.4332,0.606862
162.2,48.4332,0.606862
163,48.4343,0.606862
163,48.4343,0.606862
163.2,48.4345,0.606862
163.2,48.4345,0.606862
164,48.4356,0.606862
164,48.4356,0.606862
164.2,48.4359,0.606862
164.2,48.4359,0.606862
165,48.4369,0.606862
165,48.4369,0.606862
165.2,48.4372,0.606862
165.2,48.4372,0.606862
166,48.4382,0.606862
166,48.4382,0.606862
166.2,48.4385,0.606862
166.2,48.4385,0.606862
167,48.4395,0.606862
167,48.4395,0.606862
167.2,48.4398,0.606862
167.2,48.4398,0.606862
168,48.4408,0.606862
168,48.4408,0.606862
168.2,48.4411,0.606862
168.2,48.4411,0.606862
169,48.4422,0.606862
169,48.4422,0.606862
169.2,48.4424,0.606862
169.2,48.4424,0.606862
170,48.4435,0.606862
170,48.4435,0.606862
170.2,48.4437,0.606862
170.2,48.4437,0.606862
171,48.4448,0.606862
171,48.4448,0.606862
171.2,48.445,0.606862
171.2,48.445,0.606862
172,48.4461,0.606862
172,48.4461,0.606862
172.2,48.4463,0.606862
172.2,48.4463,0.606862
173,48.4474,0.606862
173,48.4474,0.606862
173.2,48.4477,0.606862
173.2,48.4477,0.606862
174,48.4487,0.606862
174,48.4487,0.606862
174.2,48.449,0.606862
174.2,48.449,0.606862
175,48.45,0.606862
175,48.45,0.606862
175.2,48.4503,0.606862
175.2,48.4503,0.606862
176,48.4513,0.606862
176,48.4513,0.606862
176.2,48.4516,0.606862
176.2,48.4516,0.606862
177,48.4526,0.606862
177,48.4526,0.606862
177.2,48.4529,0.606862
177.2,48.4529,0.606862
178,48.454,0.606862
178,48.454,0.606862
178.2,48.4542,0.606862
178.2,48.4542,0.606862
179,48.4553,0.606862
179,48.4553,0.606862
179.2,48.4555,0.606862
179.2,48.4555,0.606862
180,48.4566,0.606862
180,48.4566,0.606862
180.2,48.4568,0.606862
180.2,48.4568,0.606862
181,48.4579,0.606862
181,48.4579,0.606862
181.2,48.4581,0.606862
181.2,48.4581,0.606862
182,48.4592,0.606862
182,48.4592,0.606862
182.2,48.4595,0.606862
182.2,48.4595,0.606862
183,48.4605,0.606862
183,48.4605,0.606862
183.2,48.4608,0.606862
183.2,48.4608,0.606862
184,48.4618,0.606862
184,48.4618,0.606862
184.2,48.4621,0.606862
184.2,48.4621,0.606862
185,48.4631,0.606862
185,48.4631,0.606862
185.2,48.4634,0.606862
185.2,48.4634,0.606862
186,48.4644,0.606862
186,48.4644,0.606862
186.2,48.4647,0.606862
186.2,48.4647,0.606862
187,48.4658,0.606862
187,48.4658,0.606862
187.2,48.466,0.606862
187.2,48.466,0.606862
188,48.4671,0.606862
188,48.4671,0.606862
188.2,48.4673,0.606862
188.2,48.4673,0.606862
189,48.4684,0.606862
189,48.4684,0.606862
189.2,48.4686,0.606862
189.2,48.4686,0.606862
190,48.4697,0.606862
190,48.4697,0.606862
190.2,48.4699,0.606862
190.2,48.4699,0.606862
191,48.471,0.606862
191,48.471,0.606862
191.2,48.4713,0.606862
191.2,48.4713,0.606862
192,48.4723,0.606862
192,48.4723,0.606862
192.2,48.4726,0.606862
192.2,48.4726,0.606862
193,48.4736,0.606862
193,48.4736,0.606862
193.2,48.4739,0.606862
193.2,48.4739,0.606862
194,48.4749,0.606862
194,48.4749,0.606862
194.2,48.4752,0.606862
194.2,48.4752,0.606862
195,48.4762,0.606862
195,48.4762,0.606862
195.2,48.4765,0.606862
195.2,48.4765,0.606862
196,48.4776,0.606862
196,48.4776,0.606862
196.2,48.4778,0.606862
196.2,48.4778,0.606862
197,48.4789,0.606862
197,48.4789,0.606862
197.2,48.4791,0.606862
197.2,48.4791,0.606862
198,48.4802,0.606862
198,48.4802,0.606862
198.2,48.4804,0.606862
198.2,48.4804,0.606862
199,48.4815,0.606862
199,48.4815,0.606862
199.2,48.4817,0.606862
199.2,48.4817,0.606862
