time,T_gasOut.T,T_waterOut.T,T_gasIn.T,T_waterIn.T,T_waterIn.inlet.m_flow,T_waterOut.inlet.m_flow,T_gasOut.inlet.m_flow,T_gasIn.inlet.m_flow
195,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
195,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
196,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
196,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
200,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
200,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
201,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
201,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
205,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
205,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
206,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
206,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
210,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
210,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
211,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
211,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
215,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
215,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
216,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
216,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
220,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
220,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
220,369.444,374.209,376.373,302.06,0.08543,0.08543,1.21894,1.21894
220,369.444,374.209,376.373,302.06,0.08543,0.08543,-4.77E-14,0
221,369.444,374.22,376.373,302.06,0.08543,0.0837765,-5.00E-14,0
