time,T_gasIn.T,T_gasOut.T,T_waterIn.T,T_waterOut.T
50,0.606862,0.606862,0.606862,0.606862
50,0.606862,0.606862,0.606862,0.606862
50.2,0.606862,0.606862,0.606862,0.606862
50.2,0.606862,0.606862,0.606862,0.606862
51,0.606862,0.606862,0.606862,0.606862
51,0.606862,0.606862,0.606862,0.606862
51.2,0.606862,0.606862,0.606862,0.606862
51.2,0.606862,0.606862,0.606862,0.606862
52,0.606862,0.606862,0.606862,0.606862
52,0.606862,0.606862,0.606862,0.606862
52.2,0.606862,0.606862,0.606862,0.606862
52.2,0.606862,0.606862,0.606862,0.606862
53,0.606862,0.606862,0.606862,0.606862
53,0.606862,0.606862,0.606862,0.606862
53.2,0.606862,0.606862,0.606862,0.606862
53.2,0.606862,0.606862,0.606862,0.606862
54,0.606862,0.606862,0.606862,0.606862
54,0.606862,0.606862,0.606862,0.606862
54.2,0.606862,0.606862,0.606862,0.606862
54.2,0.606862,0.606862,0.606862,0.606862
55,0.606862,0.606862,0.606862,0.606862
55,0.606862,0.606862,0.606862,0.606862
55.2,0.606862,0.606862,0.606862,0.606862
55.2,0.606862,0.606862,0.606862,0.606862
56,0.606862,0.606862,0.606862,0.606862
56,0.606862,0.606862,0.606862,0.606862
56.2,0.606862,0.606862,0.606862,0.606862
56.2,0.606862,0.606862,0.606862,0.606862
57,0.606862,0.606862,0.606862,0.606862
57,0.606862,0.606862,0.606862,0.606862
57.2,0.606862,0.606862,0.606862,0.606862
57.2,0.606862,0.606862,0.606862,0.606862
58,0.606862,0.606862,0.606862,0.606862
58,0.606862,0.606862,0.606862,0.606862
58.2,0.606862,0.606862,0.606862,0.606862
58.2,0.606862,0.606862,0.606862,0.606862
59,0.606862,0.606862,0.606862,0.606862
59,0.606862,0.606862,0.606862,0.606862
59.2,0.606862,0.606862,0.606862,0.606862
59.2,0.606862,0.606862,0.606862,0.606862
60,0.606862,0.606862,0.606862,0.606862
60,0.606862,0.606862,0.606862,0.606862
60.2,0.606862,0.606862,0.606862,0.606862
60.2,0.606862,0.606862,0.606862,0.606862
61,0.606862,0.606862,0.606862,0.606862
61,0.606862,0.606862,0.606862,0.606862
61.2,0.606862,0.606862,0.606862,0.606862
61.2,0.606862,0.606862,0.606862,0.606862
62,0.606862,0.606862,0.606862,0.606862
62,0.606862,0.606862,0.606862,0.606862
62.2,0.606862,0.606862,0.606862,0.606862
62.2,0.606862,0.606862,0.606862,0.606862
63,0.606862,0.606862,0.606862,0.606862
63,0.606862,0.606862,0.606862,0.606862
63.2,0.606862,0.606862,0.606862,0.606862
63.2,0.606862,0.606862,0.606862,0.606862
64,0.606862,0.606862,0.606862,0.606862
64,0.606862,0.606862,0.606862,0.606862
64.2,0.606862,0.606862,0.606862,0.606862
64.2,0.606862,0.606862,0.606862,0.606862
65,0.606862,0.606862,0.606862,0.606862
65,0.606862,0.606862,0.606862,0.606862
65.2,0.606862,0.606862,0.606862,0.606862
65.2,0.606862,0.606862,0.606862,0.606862
66,0.606862,0.606862,0.606862,0.606862
66,0.606862,0.606862,0.606862,0.606862
66.2,0.606862,0.606862,0.606862,0.606862
66.2,0.606862,0.606862,0.606862,0.606862
67,0.606862,0.606862,0.606862,0.606862
67,0.606862,0.606862,0.606862,0.606862
67.2,0.606862,0.606862,0.606862,0.606862
67.2,0.606862,0.606862,0.606862,0.606862
68,0.606862,0.606862,0.606862,0.606862
68,0.606862,0.606862,0.606862,0.606862
68.2,0.606862,0.606862,0.606862,0.606862
68.2,0.606862,0.606862,0.606862,0.606862
69,0.606862,0.606862,0.606862,0.606862
69,0.606862,0.606862,0.606862,0.606862
69.2,0.606862,0.606862,0.606862,0.606862
69.2,0.606862,0.606862,0.606862,0.606862
70,0.606862,0.606862,0.606862,0.606862
70,0.606862,0.606862,0.606862,0.606862
70.2,0.606862,0.606862,0.606862,0.606862
70.2,0.606862,0.606862,0.606862,0.606862
71,0.606862,0.606862,0.606862,0.606862
71,0.606862,0.606862,0.606862,0.606862
71.2,0.606862,0.606862,0.606862,0.606862
71.2,0.606862,0.606862,0.606862,0.606862
72,0.606862,0.606862,0.606862,0.606862
72,0.606862,0.606862,0.606862,0.606862
72.2,0.606862,0.606862,0.606862,0.606862
72.2,0.606862,0.606862,0.606862,0.606862
73,0.606862,0.606862,0.606862,0.606862
73,0.606862,0.606862,0.606862,0.606862
73.2,0.606862,0.606862,0.606862,0.606862
73.2,0.606862,0.606862,0.606862,0.606862
74,0.606862,0.606862,0.606862,0.606862
74,0.606862,0.606862,0.606862,0.606862
74.2,0.606862,0.606862,0.606862,0.606862
74.2,0.606862,0.606862,0.606862,0.606862
75,0.606862,0.606862,0.606862,0.606862
75,0.606862,0.606862,0.606862,0.606862
75.2,0.606862,0.606862,0.606862,0.606862
75.2,0.606862,0.606862,0.606862,0.606862
76,0.606862,0.606862,0.606862,0.606862
76,0.606862,0.606862,0.606862,0.606862
76.2,0.606862,0.606862,0.606862,0.606862
76.2,0.606862,0.606862,0.606862,0.606862
77,0.606862,0.606862,0.606862,0.606862
77,0.606862,0.606862,0.606862,0.606862
77.2,0.606862,0.606862,0.606862,0.606862
77.2,0.606862,0.606862,0.606862,0.606862
78,0.606862,0.606862,0.606862,0.606862
78,0.606862,0.606862,0.606862,0.606862
78.2,0.606862,0.606862,0.606862,0.606862
78.2,0.606862,0.606862,0.606862,0.606862
79,0.606862,0.606862,0.606862,0.606862
79,0.606862,0.606862,0.606862,0.606862
79.2,0.606862,0.606862,0.606862,0.606862
79.2,0.606862,0.606862,0.606862,0.606862
80,0.606862,0.606862,0.606862,0.606862
80,0.606862,0.606862,0.606862,0.606862
80.2,0.606862,0.606862,0.606862,0.606862
80.2,0.606862,0.606862,0.606862,0.606862
81,0.606862,0.606862,0.606862,0.606862
81,0.606862,0.606862,0.606862,0.606862
81.2,0.606862,0.606862,0.606862,0.606862
81.2,0.606862,0.606862,0.606862,0.606862
82,0.606862,0.606862,0.606862,0.606862
82,0.606862,0.606862,0.606862,0.606862
82.2,0.606862,0.606862,0.606862,0.606862
82.2,0.606862,0.606862,0.606862,0.606862
83,0.606862,0.606862,0.606862,0.606862
83,0.606862,0.606862,0.606862,0.606862
83.2,0.606862,0.606862,0.606862,0.606862
83.2,0.606862,0.606862,0.606862,0.606862
84,0.606862,0.606862,0.606862,0.606862
84,0.606862,0.606862,0.606862,0.606862
84.2,0.606862,0.606862,0.606862,0.606862
84.2,0.606862,0.606862,0.606862,0.606862
85,0.606862,0.606862,0.606862,0.606862
85,0.606862,0.606862,0.606862,0.606862
85.2,0.606862,0.606862,0.606862,0.606862
85.2,0.606862,0.606862,0.606862,0.606862
86,0.606862,0.606862,0.606862,0.606862
86,0.606862,0.606862,0.606862,0.606862
86.2,0.606862,0.606862,0.606862,0.606862
86.2,0.606862,0.606862,0.606862,0.606862
87,0.606862,0.606862,0.606862,0.606862
87,0.606862,0.606862,0.606862,0.606862
87.2,0.606862,0.606862,0.606862,0.606862
87.2,0.606862,0.606862,0.606862,0.606862
88,0.606862,0.606862,0.606862,0.606862
88,0.606862,0.606862,0.606862,0.606862
88.2,0.606862,0.606862,0.606862,0.606862
88.2,0.606862,0.606862,0.606862,0.606862
89,0.606862,0.606862,0.606862,0.606862
89,0.606862,0.606862,0.606862,0.606862
89.2,0.606862,0.606862,0.606862,0.606862
89.2,0.606862,0.606862,0.606862,0.606862
90,0.606862,0.606862,0.606862,0.606862
90,0.606862,0.606862,0.606862,0.606862
90.2,0.606862,0.606862,0.606862,0.606862
90.2,0.606862,0.606862,0.606862,0.606862
91,0.606862,0.606862,0.606862,0.606862
91,0.606862,0.606862,0.606862,0.606862
91.2,0.606862,0.606862,0.606862,0.606862
91.2,0.606862,0.606862,0.606862,0.606862
92,0.606862,0.606862,0.606862,0.606862
92,0.606862,0.606862,0.606862,0.606862
92.2,0.606862,0.606862,0.606862,0.606862
92.2,0.606862,0.606862,0.606862,0.606862
93,0.606862,0.606862,0.606862,0.606862
93,0.606862,0.606862,0.606862,0.606862
93.2,0.606862,0.606862,0.606862,0.606862
93.2,0.606862,0.606862,0.606862,0.606862
94,0.606862,0.606862,0.606862,0.606862
94,0.606862,0.606862,0.606862,0.606862
94.2,0.606862,0.606862,0.606862,0.606862
94.2,0.606862,0.606862,0.606862,0.606862
95,0.606862,0.606862,0.606862,0.606862
95,0.606862,0.606862,0.606862,0.606862
95.2,0.606862,0.606862,0.606862,0.606862
95.2,0.606862,0.606862,0.606862,0.606862
96,0.606862,0.606862,0.606862,0.606862
96,0.606862,0.606862,0.606862,0.606862
96.2,0.606862,0.606862,0.606862,0.606862
96.2,0.606862,0.606862,0.606862,0.606862
97,0.606862,0.606862,0.606862,0.606862
97,0.606862,0.606862,0.606862,0.606862
97.2,0.606862,0.606862,0.606862,0.606862
97.2,0.606862,0.606862,0.606862,0.606862
98,0.606862,0.606862,0.606862,0.606862
98,0.606862,0.606862,0.606862,0.606862
98.2,0.606862,0.606862,0.606862,0.606862
98.2,0.606862,0.606862,0.606862,0.606862
99,0.606862,0.606862,0.606862,0.606862
99,0.606862,0.606862,0.606862,0.606862
99.2,0.606862,0.606862,0.606862,0.606862
99.2,0.606862,0.606862,0.606862,0.606862
100,0.606862,0.606862,0.606862,0.606862
100,0.606862,0.606862,0.606862,0.606862
100.2,0.606862,0.606862,0.606862,0.606862
100.2,0.606862,0.606862,0.606862,0.606862
101,0.606862,0.606862,0.606862,0.606862
101,0.606862,0.606862,0.606862,0.606862
101.2,0.606862,0.606862,0.606862,0.606862
101.2,0.606862,0.606862,0.606862,0.606862
102,0.606862,0.606862,0.606862,0.606862
102,0.606862,0.606862,0.606862,0.606862
102.2,0.606862,0.606862,0.606862,0.606862
102.2,0.606862,0.606862,0.606862,0.606862
103,0.606862,0.606862,0.606862,0.606862
103,0.606862,0.606862,0.606862,0.606862
103.2,0.606862,0.606862,0.606862,0.606862
103.2,0.606862,0.606862,0.606862,0.606862
104,0.606862,0.606862,0.606862,0.606862
104,0.606862,0.606862,0.606862,0.606862
104.2,0.606862,0.606862,0.606862,0.606862
104.2,0.606862,0.606862,0.606862,0.606862
105,0.606862,0.606862,0.606862,0.606862
105,0.606862,0.606862,0.606862,0.606862
105.2,0.606862,0.606862,0.606862,0.606862
105.2,0.606862,0.606862,0.606862,0.606862
106,0.606862,0.606862,0.606862,0.606862
