time,T_gasIn.T,T_gasOut.T,T_waterOut.T,T_waterIn.T,T_gasIn.inlet.m_flow,T_waterIn.inlet.m_flow
456,376.373,302.79,325.753,302.06,0,0.08543
456,376.373,302.79,325.753,302.06,0,0.08543
460,376.373,302.737,325.134,302.06,0,0.08543
460,376.373,302.737,325.134,302.06,0,0.08543
461,376.373,302.724,324.981,302.06,0,0.08543
461,376.373,302.724,324.981,302.06,0,0.08543
465,376.373,302.676,324.383,302.06,0,0.08543
465,376.373,302.676,324.383,302.06,0,0.08543
466,376.373,302.664,324.236,302.06,0,0.08543
466,376.373,302.664,324.236,302.06,0,0.08543
470,376.373,302.62,323.657,302.06,0,0.08543
470,376.373,302.62,323.657,302.06,0,0.08543
471,376.373,302.61,323.515,302.06,0,0.08543
471,376.373,302.61,323.515,302.06,0,0.08543
475,376.373,302.569,322.955,302.06,0,0.08543
475,376.373,302.569,322.955,302.06,0,0.08543
476,376.373,302.56,322.817,302.06,0,0.08543
476,376.373,302.56,322.817,302.06,0,0.08543
480,376.373,302.523,322.274,302.06,0,0.08543
480,376.373,302.523,322.274,302.06,0,0.08543
480,376.373,302.523,322.274,302.06,0,0.08543
480,376.373,302.523,322.274,302.06,0,0.08543
481,376.373,303.324,327.378,302.06,0,0.08543
481,376.373,303.324,327.378,302.06,0,0.08543
485,376.373,306.476,345.453,302.06,0,0.08543
485,376.373,306.476,345.453,302.06,0,0.08543
486,376.373,307.524,348.966,302.06,0,0.08543
486,376.373,307.524,348.966,302.06,0,0.08543
490,376.373,313.012,360.17,302.06,0,0.08543
490,376.373,313.012,360.17,302.06,0,0.08543
491,376.373,314.798,362.209,302.06,0,0.08543
491,376.373,314.798,362.209,302.06,1.21894,0.08543
495,376.373,323.712,368.295,302.06,1.21894,0.08543
495,376.373,323.712,368.295,302.06,1.21894,0.08543
496,376.373,326.321,369.363,302.06,1.21894,0.08543
496,376.373,326.321,369.363,302.06,1.21894,0.08543
500,376.373,337.262,372.4,302.06,1.21894,0.08543
500,376.373,337.262,372.4,302.06,1.21894,0.08543
501,376.373,339.978,372.905,302.06,1.21894,0.08543
501,376.373,339.978,372.905,302.06,1.21894,0.08543
505,376.373,349.776,374.287,302.06,1.21894,0.08543
505,376.373,349.776,374.287,302.06,1.21894,0.08543
506,376.373,351.887,374.508,302.06,1.21894,0.08543
506,376.373,351.887,374.508,302.06,1.21894,0.08543
510,376.373,358.742,375.11,302.06,1.21894,0.08543
510,376.373,358.742,375.11,302.06,1.21894,0.08543
511,376.373,360.07,375.206,302.06,1.21894,0.08543
511,376.373,360.07,375.206,302.06,1.21894,0.08543
515,376.373,364.085,375.468,302.06,1.21894,0.08543
515,376.373,364.085,375.468,302.06,1.21894,0.08543
516,376.373,364.805,375.511,302.06,1.21894,0.08543
516,376.373,364.805,375.511,302.06,1.21894,0.08543
520,376.373,366.884,375.625,302.06,1.21894,0.08543
520,376.373,366.884,375.625,302.06,1.21894,0.08543
521,376.373,367.238,375.644,302.06,1.21894,0.08543
521,376.373,367.238,375.644,302.06,1.21894,0.08543
525,376.373,368.234,375.695,302.06,1.21894,0.08543
525,376.373,368.234,375.695,302.06,1.21894,0.08543
526,376.373,368.399,375.703,302.06,1.21894,0.08543
526,376.373,368.399,375.703,302.06,1.21894,0.08543
530,376.373,368.856,375.725,302.06,1.21894,0.08543
530,376.373,368.856,375.725,302.06,1.21894,0.08543
531,376.373,368.93,375.729,302.06,1.21894,0.08543
531,376.373,368.93,375.729,302.06,1.21894,0.08543
535,376.373,369.135,375.738,302.06,1.21894,0.08543
535,376.373,369.135,375.738,302.06,1.21894,0.08543
536,376.373,369.169,375.74,302.06,1.21894,0.08543
536,376.373,369.169,375.74,302.06,1.21894,0.08543
540,376.373,369.26,375.744,302.06,1.21894,0.08543
540,376.373,369.26,375.744,302.06,1.21894,0.08543
541,376.373,369.274,375.745,302.06,1.21894,0.08543
541,376.373,369.274,375.745,302.06,1.21894,0.08543
545,376.373,369.315,375.747,302.06,1.21894,0.08543
545,376.373,369.315,375.747,302.06,1.21894,0.08543
546,376.373,369.321,375.747,302.06,1.21894,0.08543
