time_t,RecupHP_out_T,RecupHP_out_P,Turbine_in_T,Turbine_in_P,Cycle_Mdot,HotOil_Evap_in_T,HotOil_Evap_out_T,HotOil_Mdot
44,28.819975,12.658964,100.415761,12.665707,0.086059,104.529551,97.308519,1.214055
44.5,28.815445,12.660996,100.416855,12.665707,0.086048,104.540178,97.33099,1.21519
45,28.815445,12.660996,100.416855,12.677276,0.086107,104.540178,97.33099,1.215674
45.5,28.813918,12.662031,100.435549,12.665707,0.086123,104.543327,97.362824,1.21697
46,28.813918,12.662031,100.435549,12.671492,0.086207,104.543327,97.362824,1.217344
46.5,28.820221,12.66405,100.456133,12.671492,0.086202,104.564483,97.36652,1.21724
47,28.808945,12.665855,100.480098,12.671492,0.08616,104.572257,97.377263,1.216902
47.5,28.808945,12.665855,100.480098,12.671492,0.08617,104.572257,97.377263,1.216586
48,28.812589,12.666341,100.503019,12.677276,0.086102,104.577324,97.398551,1.216378
48.5,28.812589,12.666341,100.503019,12.677276,0.086205,104.577324,97.398551,1.217494
49,28.807468,12.668685,100.519873,12.677276,0.086228,104.588739,97.414222,1.21631
49.5,28.807468,12.668685,100.519873,12.677276,0.086203,104.588739,97.414222,1.216216
50,28.799344,12.669404,100.547169,12.677276,0.086236,104.593905,97.429005,1.215931
50.5,28.805892,12.671998,100.548164,12.677276,0.086283,104.610288,97.441276,1.214624
51,28.805892,12.671998,100.548164,12.688845,0.08612,104.610288,97.441276,1.214256
51.5,28.804218,12.673429,100.560892,12.683061,0.086199,104.616487,97.462022,1.215478
52,28.804218,12.673429,100.560892,12.677276,0.086211,104.616487,97.462022,1.214103
52.5,28.802298,12.674227,100.594651,12.683061,0.086294,104.624704,97.475032,1.214881
53,28.801904,12.676348,100.61076,12.683061,0.086283,104.629624,97.497207,1.215845
53.5,28.801904,12.676348,100.61076,12.683061,0.086292,104.629624,97.497207,1.215886
54,28.795158,12.677165,100.622544,12.683061,0.086254,104.631838,97.496862,1.215092
54.5,28.795158,12.677165,100.622544,12.683061,0.086155,104.631838,97.496862,1.214316
55,28.801461,12.678715,100.656701,12.683061,0.086177,104.636905,97.507851,1.21461
55.5,28.797719,12.68078,100.666595,12.688845,0.086189,104.631936,97.530125,1.214258
56,28.797719,12.68078,100.666595,12.688845,0.086278,104.631936,97.530125,1.214637
56.5,28.796537,12.681925,100.680019,12.688845,0.086292,104.6434,97.524064,1.214923
57,28.796537,12.681925,100.680019,12.688845,0.08636,104.6434,97.524064,1.21457
57.5,28.808994,12.683803,100.699062,12.688845,0.086281,104.641038,97.532096,1.21417
58,28.808994,12.683803,100.699062,12.688845,0.086187,104.641038,97.532096,1.215796
58.5,28.79373,12.684588,100.725314,12.69463,0.086211,104.644876,97.543381,1.216943
59,28.796143,12.68641,100.737048,12.69463,0.08623,104.660964,97.548506,1.216252
59.5,28.796143,12.68641,100.737048,12.700414,0.086268,104.660964,97.548506,1.215919
60,28.787625,12.688107,100.750422,12.69463,0.086271,104.654716,97.560087,1.216155
60.5,28.787625,12.688107,100.750422,12.69463,0.086342,104.654716,97.560087,1.21672
61,28.785261,12.689716,100.776376,12.69463,0.086256,104.650927,97.56669,1.217415
61.5,28.79309,12.691725,100.791987,12.69463,0.086284,104.646893,97.573293,1.217451
62,28.79309,12.691725,100.791987,12.69463,0.086269,104.646893,97.573293,1.21656
62.5,28.79117,12.693094,100.804467,12.69463,0.086243,104.642859,97.584135,1.214184
63,28.79117,12.693094,100.804467,12.700414,0.086309,104.642859,97.584135,1.214667
63.5,28.791564,12.694506,100.809936,12.700414,0.086361,104.656684,97.587584,1.215354
64,28.788265,12.69643,100.82704,12.700414,0.086371,104.631001,97.595764,1.216106
